group,time,pulserate,systolicbloodpressure,diastolicbloodpressure,quaternion,euler,acceleration
12,2019-03-09T13:18:55.017Z,86,107,63,"[0.6174755692481995, 0.5846705436706543, 0.5051440000534058, 0.14735661447048187]","[-108.70127868652344, -52.76290512084961, 42.486873626708984]","[-0.12448552250862122, -0.29565495252609253, 0.05902300402522087]"
12,2019-03-09T13:18:56.024Z,86,107,63,"[0.5948523879051208, 0.2937946915626526, 0.7237553000450134, -0.18977294862270355]","[-109.43667602539062, -48.551116943359375, 100.41551208496094]","[0.08810186386108398, -0.3024269938468933, -0.11745941638946533]"
12,2019-03-09T13:18:57.031Z,86,107,63,"[0.5398714542388916, 0.15234912931919098, 0.7633597254753113, -0.3203287720680237]","[-107.96080017089844, -46.604515075683594, 122.65006256103516]","[-0.048692736774683, -0.15900692343711853, -0.09193669259548187]"
12,2019-03-09T13:18:58.038Z,86,107,63,"[0.47476643323898315, 0.07876187562942505, 0.8052532076835632, -0.34635335206985474]","[-116.05393981933594, -45.23944854736328, 139.6695098876953]","[-0.26758718490600586, 0.17242005467414856, 0.08951432257890701]"
12,2019-03-09T13:18:59.044Z,86,107,63,"[0.4682835042476654, 0.16467666625976562, 0.8099692463874817, -0.31231725215911865]","[-119.02668762207031, -40.9748649597168, 132.20384216308594]","[-0.19691628217697144, 0.018045641481876373, 0.155516117811203]"
12,2019-03-09T13:19:00.050Z,86,107,63,"[0.46264880895614624, 0.18348941206932068, 0.7752164006233215, -0.3890080749988556]","[-109.20670318603516, -35.06800842285156, 128.05999755859375]","[0.4143761396408081, 0.0915721207857132, -0.005566569045186043]"
12,2019-03-09T13:19:01.057Z,86,108,63,"[0.4824800193309784, 0.18494278192520142, 0.7422897815704346, -0.4266323447227478]","[-101.85380554199219, -33.95039749145508, 124.17984771728516]","[0.2874692976474762, 0.1716310828924179, -0.1101471558213234]"
12,2019-03-09T13:19:02.064Z,87,108,63,"[0.4987177550792694, 0.16643290221691132, 0.7337941527366638, -0.4302637279033661]","[-99.42028045654297, -36.06427764892578, 123.58500671386719]","[0.034573234617710114, 0.32323360443115234, -0.09669111669063568]"
12,2019-03-09T13:19:03.070Z,88,109,64,"[0.48494571447372437, 0.08876387029886246, 0.7658241987228394, -0.4128703773021698]","[-104.71839141845703, -42.026214599609375, 133.77296447753906]","[-0.08161509037017822, 0.2512817978858948, 0.08430933952331543]"
12,2019-03-09T13:19:04.077Z,88,109,64,"[0.48261818289756775, 0.04493303969502449, 0.784665584564209, -0.38647228479385376]","[-109.91459655761719, -46.274288177490234, 140.08087158203125]","[0.036080025136470795, -0.03391715884208679, 0.17282748222351074]"
12,2019-03-09T13:19:05.084Z,89,109,64,"[0.4292433261871338, -0.07449855655431747, 0.7947565317153931, -0.42256617546081543]","[-114.29852294921875, -48.18051528930664, 158.50254821777344]","[0.15522341430187225, -0.2500075697898865, 0.14661207795143127]"
12,2019-03-09T13:19:06.090Z,89,109,64,"[0.46811342239379883, -0.05878762900829315, 0.7731642127037048, -0.42382898926734924]","[-108.63783264160156, -50.68632125854492, 151.13063049316406]","[0.1609625369310379, -0.19693967700004578, -0.14912712574005127]"
12,2019-03-09T13:19:07.096Z,89,109,64,"[0.4187260568141937, -0.12412184476852417, 0.7866168022155762, -0.4364587962627411]","[-114.726806640625, -50.094383239746094, 164.61119079589844]","[0.31326842308044434, -0.41801199316978455, -0.09507805109024048]"
12,2019-03-09T13:19:08.102Z,89,109,64,"[0.4311251640319824, -0.1126735657453537, 0.7791144251823425, -0.44092708826065063]","[-112.09090423583984, -50.45757293701172, 161.25253295898438]","[0.21110618114471436, -0.2126815915107727, -0.15944713354110718]"
12,2019-03-09T13:19:09.108Z,88,109,64,"[0.4620307683944702, -0.07226665318012238, 0.7977592945098877, -0.3806380033493042]","[-117.658203125, -52.390995025634766, 157.20606994628906]","[-0.12050329893827438, -0.21890032291412354, 0.06313656270503998]"
12,2019-03-09T13:19:10.115Z,88,109,64,"[0.48960044980049133, 0.05648843199014664, 0.7976223230361938, -0.3477053940296173]","[-114.56198120117188, -47.880706787109375, 140.05760192871094]","[-0.2559562921524048, -0.06984997540712357, -0.020333290100097656]"
12,2019-03-09T13:19:11.121Z,88,109,64,"[0.4995509684085846, 0.0651351660490036, 0.8005374670028687, -0.32457080483436584]","[-116.39520263671875, -49.24750900268555, 138.96575927734375]","[-0.19854536652565002, 0.20547831058502197, 0.014109529554843903]"
12,2019-03-09T13:19:12.127Z,88,109,64,"[0.5444700121879578, 0.12690995633602142, 0.7749465703964233, -0.2947950065135956]","[-111.40673828125, -50.26826477050781, 125.90965270996094]","[0.34224560856819153, -0.7636618614196777, -0.5154559016227722]"
12,2019-03-09T13:19:13.133Z,88,109,64,"[0.4505738914012909, 0.13269402086734772, 0.7678004503250122, -0.4357270896434784]","[-105.19805908203125, -35.188270568847656, 133.1323699951172]","[0.048968274146318436, -0.40727004408836365, -0.5356608629226685]"
12,2019-03-09T13:19:14.141Z,88,109,64,"[0.5007258057594299, 0.14181505143642426, 0.7638625502586365, -0.38167551159858704]","[-105.94681549072266, -41.049964904785156, 127.42678833007812]","[0.06654428690671921, -0.32094860076904297, -0.3047800064086914]"
12,2019-03-09T13:19:15.152Z,88,109,64,"[0.5112492442131042, 0.21010953187942505, 0.7532650828361511, -0.35646873712539673]","[-106.52771759033203, -38.346641540527344, 119.73219299316406]","[0.11278036236763, -0.38009268045425415, 0.14602458477020264]"
